,State,Year,Month,Population,Unemployment Rate,effective_min_wage,effective_min_2020,State_id
0,Alabama,1976,1,2605000,6.6,2.2,10.0,1.0
1,Alaska,1976,1,232000,7.1,2.8,12.73,2.0
2,Arizona,1976,1,1621000,10.2,2.2,10.0,3.0
3,Arkansas,1976,1,1536000,7.3,2.2,10.0,4.0
4,California,1976,1,15621000,9.2,2.2,10.0,5.0
6,Colorado,1976,1,1832000,5.8,2.2,10.0,6.0
7,Connecticut,1976,1,2248000,9.8,2.21,10.05,7.0
8,Delaware,1976,1,417000,8.0,2.2,10.0,8.0
9,District of Columbia,1976,1,520000,8.7,2.25,10.23,9.0
10,Florida,1976,1,6421000,9.7,2.2,10.0,10.0
11,Georgia,1976,1,3522000,8.4,2.2,10.0,11.0
12,Hawaii,1976,1,583000,9.8,2.4,10.91,12.0
13,Idaho,1976,1,580000,5.6,2.2,10.0,13.0
14,Illinois,1976,1,8127000,6.6,2.2,10.0,14.0
15,Indiana,1976,1,3789000,6.6,2.2,10.0,15.0
16,Iowa,1976,1,2066000,4.3,2.2,10.0,16.0
17,Kansas,1976,1,1635000,4.2,2.2,10.0,17.0
18,Kentucky,1976,1,2459000,5.6,2.2,10.0,18.0
19,Louisiana,1976,1,2672000,6.3,2.2,10.0,19.0
20,Maine,1976,1,764000,8.7,2.3,10.46,20.0
21,Maryland,1976,1,2954000,6.4,2.2,10.0,21.0
22,Massachusetts,1976,1,4194000,10.5,2.2,10.0,22.0
23,Michigan,1976,1,6417000,9.9,2.2,10.0,23.0
24,Minnesota,1976,1,2788000,6.0,2.2,10.0,24.0
25,Mississippi,1976,1,1640000,6.7,2.2,10.0,25.0
26,Missouri,1976,1,3464000,5.9,2.2,10.0,26.0
27,Montana,1976,1,531000,5.8,2.2,10.0,27.0
28,Nebraska,1976,1,1095000,3.3,2.2,10.0,28.0
29,Nevada,1976,1,451000,9.2,2.2,10.0,29.0
30,New Hampshire,1976,1,593000,6.5,2.2,10.0,30.0
31,New Jersey,1976,1,5358000,10.3,2.2,10.0,31.0
32,New Mexico,1976,1,792000,8.6,2.2,10.0,32.0
33,New York,1976,1,13196000,10.3,2.3,10.46,33.0
35,North Carolina,1976,1,3898000,6.4,2.2,10.0,34.0
36,North Dakota,1976,1,442000,3.4,2.2,10.0,35.0
37,Ohio,1976,1,7701000,8.1,2.2,10.0,36.0
38,Oklahoma,1976,1,1999000,5.8,2.2,10.0,37.0
39,Oregon,1976,1,1716000,9.5,2.3,10.46,38.0
40,Pennsylvania,1976,1,8774000,8.0,2.2,10.0,39.0
41,Rhode Island,1976,1,691000,7.8,2.3,10.46,40.0
42,South Carolina,1976,1,1984000,7.4,2.2,10.0,41.0
43,South Dakota,1976,1,477000,3.3,2.2,10.0,42.0
44,Tennessee,1976,1,3078000,6.0,2.2,10.0,43.0
45,Texas,1976,1,8818000,5.8,2.2,10.0,44.0
46,Utah,1976,1,824000,5.8,2.2,10.0,45.0
47,Vermont,1976,1,339000,8.6,2.3,10.46,46.0
48,Virginia,1976,1,3534000,6.1,2.2,10.0,47.0
49,Washington,1976,1,2598000,8.5,2.2,10.0,48.0
50,West Virginia,1976,1,1352000,7.5,2.2,10.0,49.0
51,Wisconsin,1976,1,3245000,5.8,2.2,10.0,50.0
52,Wyoming,1976,1,270000,4.1,2.2,10.0,51.0
636,Alabama,1977,1,2663000,7.3,2.2,9.39,1.0
637,Alaska,1977,1,245000,9.1,2.8,11.95,2.0
638,Arizona,1977,1,1690000,9.3,2.2,9.39,3.0
639,Arkansas,1977,1,1565000,6.6,2.2,9.39,4.0
640,California,1977,1,16066000,9.2,2.2,9.39,5.0
642,Colorado,1977,1,1892000,6.6,2.2,9.39,6.0
643,Connecticut,1977,1,2274000,8.2,2.21,9.43,7.0
644,Delaware,1977,1,425000,9.2,2.2,9.39,8.0
645,District of Columbia,1977,1,515000,8.9,2.25,9.6,9.0
646,Florida,1977,1,6619000,9.0,2.2,9.39,10.0
647,Georgia,1977,1,3605000,8.1,2.2,9.39,11.0
648,Hawaii,1977,1,601000,8.5,2.4,10.24,12.0
649,Idaho,1977,1,601000,5.9,2.2,9.39,13.0
650,Illinois,1977,1,8235000,6.2,2.2,9.39,14.0
651,Indiana,1977,1,3842000,5.8,2.2,9.39,15.0
652,Iowa,1977,1,2098000,4.0,2.2,9.39,16.0
653,Kansas,1977,1,1662000,4.2,2.2,9.39,17.0
654,Kentucky,1977,1,2516000,5.1,2.2,9.39,18.0
655,Louisiana,1977,1,2745000,6.9,2.2,9.39,19.0
656,Maine,1977,1,782000,9.1,2.3,9.82,20.0
657,Maryland,1977,1,3006000,6.7,2.2,9.39,21.0
658,Massachusetts,1977,1,4234000,8.8,2.2,9.39,22.0
659,Michigan,1977,1,6501000,8.9,2.2,9.39,23.0
660,Minnesota,1977,1,2839000,5.9,2.2,9.39,24.0
661,Mississippi,1977,1,1676000,6.9,2.2,9.39,25.0
